date,treatment,time,dayofyr,drain,aglivc,stdedc,strucc.2.,metabc.2.,som1c.2.,som2c.2.,som3c,BIO_measured,SOM_measured,BIO_model,SOM_model
2016-06-06,HAF,2016,158,0,3.1054,12.7641,1484.2872,226.6299,719.3873,2835.7141,4680.6455,106.0725464,,15.8695,9946.664
2016-06-16,HAF,2016,168,0,2.8911,12.3491,1486.1699,231.4709,719.3171,2835.7656,4680.6357,99.1274248,,15.2402,9953.3592
2016-06-23,HAF,2016,175,0,2.7368,12.0753,1487.7662,235.3947,719.2948,2835.7898,4680.6294,85.69806222,,14.8121,9958.8749
2016-06-26,HAF,2016,178,0,2.6712,11.9604,1488.4955,237.1619,719.2906,2835.7986,4680.6265,94.98198445,,14.6316,9961.3731
2016-07-03,HAF,2016,185,0,2.5292,11.6935,1490.0873,241.0278,719.2896,2835.8215,4680.6191,92.32090541,,14.2227,9966.8453
2016-07-06,HAF,2016,188,0,2.4719,11.5815,1490.7847,242.7094,719.2924,2835.8306,4680.6167,85.13030602,,14.0534,9969.2338
2016-07-13,HAF,2016,195,0,2.3413,11.3237,1492.5796,246.9885,719.3043,2835.8481,4680.6133,72.58303039,,13.665,9975.3338
2016-07-16,HAF,2016,198,0,2.2865,11.2146,1493.3381,248.7911,719.3123,2835.8555,4680.6118,65.48209759,,13.5011,9977.9088
2016-08-02,HAF,2016,215,0.0647,2.145,10.4602,1494.51,252.0864,719.5861,2835.9446,4680.5786,21.52836505,,12.6052,9982.7057
2016-08-05,HAF,2016,218,0.0342,2.1446,10.3095,1494.4901,252.1714,719.6489,2835.9204,4680.5713,32.30613902,,12.4541,9982.8021
2016-08-12,HAF,2016,225,0.0028,2.1166,9.9931,1494.825,253.1974,719.7715,2835.9929,4680.5552,30.57194824,,12.1097,9984.342
2016-08-15,HAF,2016,228,0.001,2.0796,9.8855,1495.2942,254.3453,719.803,2836.0105,4680.5518,0,,11.9651,9986.0048
2016-08-22,HAF,2016,235,0.0001,2.051,9.5834,1494.7582,253.4022,720.0032,2836.1162,4680.5298,56.54585824,,11.6344,9984.8096
2016-08-22,HAF,2016,235,0.0001,2.051,9.5834,1494.7582,253.4022,720.0032,2836.1162,4680.5298,56.54585824,,11.6344,9984.8096
2016-08-25,HAF,2016,238,0.4423,2.0505,9.4455,1494.6146,253.1972,720.0769,2836.0745,4680.5205,53.6652598,,11.496,9984.4837
2016-09-01,HAF,2016,245,0.0364,4.3712,9.1657,1495.0861,254.4957,720.1898,2836.1389,4680.5073,55.11369648,,13.5369,9986.4178
2016-09-11,HAF,2016,255,0.001,24.3341,9.5437,1496.4303,257.7042,720.3531,2836.2153,4680.4912,33.16446587,,33.8778,9991.1941
2016-09-14,HAF,2016,258,0.0004,29.4219,9.7705,1496.3824,257.5826,720.4523,2836.2598,4680.4824,0,,39.1924,9991.1595
2016-09-21,HAF,2016,265,0,38.3152,9.7925,1494.963,254.487,720.77,2836.4153,4680.4507,98.61655817,,48.1077,9987.086
2016-09-24,HAF,2016,268,0,43.9903,10.2394,1495.0076,254.6304,720.8416,2836.4548,4680.4419,35.70530196,,54.2297,9987.3763
2016-10-01,HAF,2016,275,0,55.4791,12.4262,1496.4833,257.5526,720.9289,2836.499,4680.4326,41.44406793,,67.9053,9991.8964
2016-10-21,HAF,2016,295,0,86.2146,19.3033,1499.6716,261.0083,721.4232,2836.7053,4680.3936,79.90338001,,105.5179,9999.202
2016-10-24,HAF,2016,298,0,92.4164,19.1311,1498.7858,258.6446,721.6324,2836.7959,4680.377,113.5724187,,111.5475,9996.2357
2016-10-31,HAF,2016,305,0,105.4999,22.8193,1499.8868,259.9263,721.7977,2836.8765,4680.3613,136.4314029,,128.3192,9998.8486
2016-11-03,HAF,2016,308,0,108.3181,24.9891,1500.8293,261.3606,721.8395,2836.895,4680.3579,140.5494457,,133.3072,10001.2823
2016-11-13,HAF,2016,318,0,125.991,27.53,1500.4894,258.3466,722.3594,2837.126,4680.3164,89.6030827,,153.521,9998.6378
2016-11-20,HAF,2016,325,0,137.9652,28.2822,1498.9657,254.2792,722.7224,2837.3152,4680.2788,71.32102942,,166.2474,9993.5613
2016-11-30,HAF,2016,335,0,151.0291,31.2937,1498.2803,251.4445,723.0623,2837.5598,4680.2368,181.7412846,,182.3228,9990.5837
2016-12-03,HAF,2016,338,0,153.1,34.2249,1498.177,251.0948,723.1332,2837.6235,4680.2256,195.3837928,,187.3249,9990.2541
2016-12-13,HAF,2016,348,0,165.0246,42.5012,1497.1229,247.9101,723.372,2837.8875,4680.1816,209.2198064,,207.5258,9986.4741
2016-12-23,HAF,2016,358,0,192.1407,46.4457,1493.6056,239.9174,723.4865,2837.8093,4680.1167,213.2396583,,238.5864,9974.9355
2016-12-30,HAF,2016,365,0,205.6729,50.1167,1491.2776,234.9349,723.379,2838.0149,4680.0708,116.2748745,,255.7896,9967.6772
2017-01-02,HAF,2017,2,0,207.2941,51.3934,1490.2087,232.8581,723.2888,2837.9365,4680.0513,216.7319605,,258.6875,9964.3434
2017-01-12,HAF,2017,12,1.197,207.9695,55.1923,1486.6676,226.1303,722.8025,2837.916,4679.9863,193.6955422,,263.1618,9953.5027
